by,bin,n_plays,actual
Pregame WP,0.0,1096,0.012773722627737226
Pregame WP,0.05,2279,0.04826678367705134
Pregame WP,0.1,1402,0.09771754636233952
Pregame WP,0.15000000000000002,1340,0.1537313432835821
Pregame WP,0.2,1864,0.21512875536480686
Pregame WP,0.25,1336,0.27095808383233533
Pregame WP,0.30000000000000004,2501,0.2926829268292683
Pregame WP,0.35000000000000003,1383,0.3289949385394071
Pregame WP,0.4,2932,0.4106412005457026
Pregame WP,0.45,1774,0.4250281848928974
Pregame WP,0.5,1927,0.5033731188375714
Pregame WP,0.55,1706,0.5756154747948418
Pregame WP,0.6000000000000001,3026,0.5839391936549901
Pregame WP,0.65,1380,0.6782608695652174
Pregame WP,0.7000000000000001,2594,0.7054741711642252
Pregame WP,0.75,1277,0.7314017227877838
Pregame WP,0.8,1883,0.7843866171003717
Pregame WP,0.8500000000000001,1260,0.8468253968253968
Pregame WP,0.9,1450,0.9013793103448275
Pregame WP,0.9500000000000001,2272,0.9524647887323944
Pregame WP,1.0,1092,0.9871794871794872
