by,bin,n_plays,actual
FG,0.25,29,0.41379310344827586
FG,0.3,130,0.2923076923076923
FG,0.35,207,0.4057971014492754
FG,0.4,228,0.35964912280701755
FG,0.45000002,1290,0.4744186046511628
FG,0.5,2224,0.5004496402877698
FG,0.55,2533,0.5357283853138571
FG,0.6,4862,0.6030440148087207
FG,0.65000004,4331,0.667513276379589
FG,0.7,3586,0.690462911321807
FG,0.75,4851,0.7584003298289013
FG,0.8,4572,0.7965879265091863
FG,0.85,5078,0.8544702638834186
FG,0.90000004,5108,0.9017227877838685
FG,0.95,3586,0.9403234802007808
