by,bin,n_plays,actual
EP,-5.0,101,-4.415841584158416
EP,-4.5,877,-4.228050171037628
EP,-4.0,2888,-4.084487534626039
EP,-3.5,7106,-3.5748663101604277
EP,-3.0,14921,-3.0793512499162254
EP,-2.5,26334,-2.524455077086656
EP,-2.0,42529,-2.047497002045663
EP,-1.5,61686,-1.465648607463606
EP,-1.0,86344,-1.0119290280737514
EP,-0.5,121365,-0.5093807934742306
EP,-0.0,178491,-0.0003865741129804864
EP,0.5,210807,0.49950902958630405
EP,1.0,209140,0.993511523381467
EP,1.5,204249,1.5030134786461622
EP,2.0,191681,1.985225452705276
EP,2.5,176118,2.5025891731679897
EP,3.0,159934,2.9868820888616554
EP,3.5,141805,3.5105320686858716
EP,4.0,122702,4.0283776955550845
EP,4.5,103186,4.523501250169597
EP,5.0,77202,5.034312582575581
EP,5.5,46403,5.506562075727863
EP,6.0,24529,6.0325329202168865
EP,6.5,9209,6.470952329243132
