by,bin,n_plays,actual
Q1,0.0,1750,0.005714285714285714
Q1,0.05,6358,0.056936143441333756
Q1,0.1,10009,0.0928164651813368
Q1,0.15,13139,0.1516858208387244
Q1,0.2,29462,0.1845428008960695
Q1,0.25,20975,0.23432657926102504
Q1,0.3,27934,0.2951958187155438
Q1,0.35,40449,0.35427328240500383
Q1,0.4,43550,0.40190585533869116
Q1,0.45000002,42395,0.4510437551598066
Q1,0.5,44490,0.4967183636772308
Q1,0.55,40143,0.5500087188301821
Q1,0.6,41125,0.5972036474164134
Q1,0.65000004,44972,0.6536956328382104
Q1,0.7,44381,0.7035668416664789
Q1,0.75,27322,0.7610350633189371
Q1,0.8,18622,0.8084523681666845
Q1,0.85,22131,0.8567620080430166
Q1,0.90000004,8461,0.9006027656305401
Q1,0.95,6823,0.9525135570863257
Q1,1.0,1598,0.9874843554443054
Q2,0.0,30631,0.007671966308641572
Q2,0.05,34068,0.05183750146765293
Q2,0.1,27008,0.09463862559241706
Q2,0.15,27379,0.1506629168340699
Q2,0.2,33872,0.20370807746811526
Q2,0.25,28203,0.24582491224337835
Q2,0.3,27251,0.301126564162783
Q2,0.35,27848,0.3536699224360816
Q2,0.4,23114,0.4082374318594791
Q2,0.45000002,22733,0.4518101438437514
Q2,0.5,23896,0.4963592233009709
Q2,0.55,24863,0.5527892852833528
Q2,0.6,23665,0.5950559898584408
Q2,0.65000004,25713,0.6425154591062886
Q2,0.7,31133,0.6948575466546751
Q2,0.75,29720,0.7472745625841184
Q2,0.8,30311,0.7968724225528686
Q2,0.85,33074,0.8495797303017476
Q2,0.90000004,29028,0.8983739837398373
Q2,0.95,32920,0.952460510328068
Q2,1.0,34794,0.9900270161522101
Q3,0.0,74864,0.006144475315238299
Q3,0.05,38292,0.046458790347853336
Q3,0.1,21274,0.09819497978753408
Q3,0.15,23653,0.14514015135500782
Q3,0.2,20255,0.2041471241668724
Q3,0.25,18713,0.2647891839897398
Q3,0.3,15091,0.31886554900271685
Q3,0.35,16370,0.3651191203420892
Q3,0.4,13374,0.41064752504860175
Q3,0.45000002,10666,0.46352897056066006
Q3,0.5,13675,0.5013528336380256
Q3,0.55,12890,0.5392552366175329
Q3,0.6,12731,0.5795302804178776
Q3,0.65000004,17118,0.6316742610118005
Q3,0.7,18419,0.6922199902274825
Q3,0.75,17157,0.7438363350236056
Q3,0.8,19430,0.7929490478641277
Q3,0.85,25017,0.8475836431226765
Q3,0.90000004,26798,0.9068960370176878
Q3,0.95,32025,0.9547540983606557
Q3,1.0,80334,0.9927801429033783
Q4,0.0,155171,0.0031835845615482273
Q4,0.05,31446,0.04127710996629142
Q4,0.1,18870,0.10201377848436671
Q4,0.15,14627,0.14835578040609831
Q4,0.2,12281,0.21008061232798633
Q4,0.25,12210,0.28345618345618345
Q4,0.3,11048,0.3287472845763939
Q4,0.35,8619,0.37498549715744284
Q4,0.4,7792,0.41619609856262835
Q4,0.45000002,6020,0.44501661129568104
Q4,0.5,6379,0.48424517949521867
Q4,0.55,6982,0.5257805786307648
Q4,0.6,8198,0.5747743352037082
Q4,0.65000004,9142,0.6241522642747758
Q4,0.7,10927,0.6828955797565663
Q4,0.75,12264,0.7407860404435747
Q4,0.8,12658,0.7913572444303998
Q4,0.85,13616,0.8420975323149236
Q4,0.90000004,17038,0.9008099542199789
Q4,0.95,33401,0.9569174575611509
Q4,1.0,145459,0.9970850892691411
