by,bin,n_plays,actual
Down 1,0.0,347,0.01729106628242075
Down 1,0.05,9620,0.04958419958419959
Down 1,0.1,16432,0.07290652385589094
Down 1,0.15,25363,0.11280211331467098
Down 1,0.2,32893,0.1839297114887666
Down 1,0.25,46263,0.24293712037697512
Down 1,0.3,43765,0.3002856163601051
Down 1,0.35,70443,0.3505671251934188
Down 1,0.4,213005,0.40488251449496493
Down 1,0.45000002,205252,0.4462368210784791
Down 1,0.5,55543,0.49311344363826226
Down 1,0.55,26187,0.5427884064612212
Down 1,0.6,27488,0.6007712456344587
Down 1,0.65000004,18671,0.672540303143913
Down 1,0.7,15606,0.7484941689093938
Down 1,0.75,15080,0.7998010610079576
Down 1,0.8,11790,0.8431721798134012
Down 1,0.85,5273,0.8776787407547886
Down 1,0.90000004,541,0.9168207024029574
Down 2,0.0,55,0.01818181818181818
Down 2,0.05,3880,0.04639175257731959
Down 2,0.1,11805,0.07361287590004235
Down 2,0.15,12605,0.11249504165013884
Down 2,0.2,19140,0.17826541274817137
Down 2,0.25,34848,0.2493112947658402
Down 2,0.3,38466,0.29815941350803304
Down 2,0.35,46592,0.34967376373626374
Down 2,0.4,53668,0.4004248341656108
Down 2,0.45000002,55905,0.454342187639746
Down 2,0.5,94523,0.4885266019910498
Down 2,0.55,82676,0.5486961149547632
Down 2,0.6,64462,0.607675840029785
Down 2,0.65000004,50386,0.6596078275711507
Down 2,0.7,26300,0.7111787072243346
Down 2,0.75,14506,0.7740934785605956
Down 2,0.8,10793,0.8284999536736773
Down 2,0.85,5388,0.8634001484780994
Down 2,0.90000004,572,0.8951048951048951
Down 2,0.95,7,1.0
Down 3,0.0,55,0.01818181818181818
Down 3,0.05,3292,0.04951397326852977
Down 3,0.1,20207,0.10179640718562874
Down 3,0.15,18665,0.12483257433699438
Down 3,0.2,4241,0.1810893657156331
Down 3,0.25,5851,0.2320970774226628
Down 3,0.3,8986,0.2861117293567772
Down 3,0.35,10496,0.3446074695121951
Down 3,0.4,10839,0.3965310452993819
Down 3,0.45000002,8307,0.4423979776092452
Down 3,0.5,8193,0.48834370804345173
Down 3,0.55,7825,0.5570607028753993
Down 3,0.6,14599,0.6043564627714227
Down 3,0.65000004,21084,0.6521058622652248
Down 3,0.7,23847,0.7021008931941125
Down 3,0.75,45618,0.7579683458284011
Down 3,0.8,89473,0.8102667843930571
Down 3,0.85,83703,0.848762887829588
Down 3,0.90000004,5364,0.8737882177479492
Down 3,0.95,4,0.75
Down 4,0.0,15,0.0
Down 4,0.05,1748,0.06807780320366133
Down 4,0.1,9034,0.10704007084348019
Down 4,0.15,3381,0.14285714285714285
Down 4,0.2,1351,0.18208734270910437
Down 4,0.25,712,0.2205056179775281
Down 4,0.3,614,0.2671009771986971
Down 4,0.35,822,0.3613138686131387
Down 4,0.4,1454,0.4016506189821183
Down 4,0.45000002,1737,0.45135290731145655
Down 4,0.5,1194,0.4882747068676717
Down 4,0.55,1088,0.5211397058823529
Down 4,0.6,1188,0.5420875420875421
Down 4,0.65000004,1553,0.5981970379909852
Down 4,0.7,2125,0.6635294117647059
Down 4,0.75,2693,0.7452655031563312
Down 4,0.8,4340,0.8292626728110599
Down 4,0.85,5254,0.8759040730871717
Down 4,0.90000004,4784,0.9195234113712375
Down 4,0.95,442,0.9389140271493213
