by,bin,n_plays,actual
Field Goal (+3),0.0,31054,0.01400785728086559
Field Goal (+3),0.05,301786,0.0487729715758849
Field Goal (+3),0.1,431867,0.10001227229679507
Field Goal (+3),0.15,613490,0.1500187452118209
Field Goal (+3),0.2,368643,0.19688696109786433
Field Goal (+3),0.25,182776,0.2487088020309012
Field Goal (+3),0.3,121679,0.2953262272043656
Field Goal (+3),0.35,60333,0.35131685810418845
Field Goal (+3),0.4,30241,0.41126285506431665
Field Goal (+3),0.45000002,21836,0.45667704707821943
Field Goal (+3),0.5,15924,0.5145064054257724
Field Goal (+3),0.55,9590,0.570385818561001
Field Goal (+3),0.6,6776,0.6158500590318772
Field Goal (+3),0.65000004,4279,0.6592661836877776
Field Goal (+3),0.7,4375,0.7243428571428572
Field Goal (+3),0.75,5104,0.7754702194357367
Field Goal (+3),0.8,5938,0.8326035702256652
Field Goal (+3),0.85,3872,0.871900826446281
Field Goal (+3),0.90000004,44,0.9545454545454546
No Score (0),0.0,885781,0.009897480302693329
No Score (0),0.05,411258,0.04501067456438537
No Score (0),0.1,188911,0.09820497482941702
No Score (0),0.15,120371,0.14718661471616917
No Score (0),0.2,91651,0.19943044811295021
No Score (0),0.25,75621,0.25084301979608836
No Score (0),0.3,58280,0.3020761839396019
No Score (0),0.35,58399,0.3533279679446566
No Score (0),0.4,47276,0.40147220577036974
No Score (0),0.45000002,41247,0.45217834024292675
No Score (0),0.5,41268,0.4978433653193758
No Score (0),0.55,39583,0.5529646565444761
No Score (0),0.6,34313,0.5959548859033019
No Score (0),0.65000004,27801,0.6460558972698823
No Score (0),0.7,22101,0.6951269173340573
No Score (0),0.75,19452,0.7615669339913633
No Score (0),0.8,18297,0.8081106192271957
No Score (0),0.85,19126,0.8585172017149431
No Score (0),0.90000004,14712,0.887778684067428
No Score (0),0.95,4116,0.9419339164237124
No Score (0),1.0,43,1.0
Opp Field Goal (-3),0.0,523044,0.012884193299225305
Opp Field Goal (-3),0.05,739085,0.047848353031112796
Opp Field Goal (-3),0.1,647944,0.1006429567987357
Opp Field Goal (-3),0.15,268500,0.14387709497206705
Opp Field Goal (-3),0.2,38477,0.19175091613171505
Opp Field Goal (-3),0.25,2513,0.24512534818941503
Opp Field Goal (-3),0.3,40,0.15
Opp Field Goal (-3),0.35,3,0.0
Opp Field Goal (-3),0.4,1,0.0
Opp Safety (-2),0.0,2200424,0.0024322585101780383
Opp Safety (-2),0.05,17534,0.041633397969658946
Opp Safety (-2),0.1,1479,0.07572684246112238
Opp Safety (-2),0.15,99,0.12121212121212122
Opp Safety (-2),0.2,38,0.18421052631578946
Opp Safety (-2),0.25,16,0.0625
Opp Safety (-2),0.3,8,0.125
Opp Safety (-2),0.35,2,0.0
Opp Safety (-2),0.4,2,0.5
Opp Safety (-2),0.45000002,2,0.5
Opp Safety (-2),0.5,2,0.0
Opp Safety (-2),0.65000004,1,0.0
Opp Touchdown (-7),0.0,153549,0.012204573133006403
Opp Touchdown (-7),0.05,372405,0.047647050925739454
Opp Touchdown (-7),0.1,265318,0.09832352120851205
Opp Touchdown (-7),0.15,253521,0.15083563097337105
Opp Touchdown (-7),0.2,256316,0.20116184709499213
Opp Touchdown (-7),0.25,255558,0.2511954233481245
Opp Touchdown (-7),0.3,222157,0.3001660987499831
Opp Touchdown (-7),0.35,168074,0.3476325904066066
Opp Touchdown (-7),0.4,119385,0.3978054194413033
Opp Touchdown (-7),0.45000002,73425,0.4468777664283282
Opp Touchdown (-7),0.5,43138,0.49916546896008157
Opp Touchdown (-7),0.55,22522,0.553281236124678
Opp Touchdown (-7),0.6,9584,0.5924457429048414
Opp Touchdown (-7),0.65000004,3628,0.655457552370452
Opp Touchdown (-7),0.7,960,0.6677083333333333
Opp Touchdown (-7),0.75,67,0.6567164179104478
Safety (+2),0.0,2218885,0.0031741167297989754
Safety (+2),0.05,687,0.011644832605531296
Safety (+2),0.1,28,0.03571428571428571
Safety (+2),0.15,7,0.14285714285714285
Touchdown (+7),0.0,8719,0.014221814428260121
Touchdown (+7),0.05,55059,0.044243447937666866
Touchdown (+7),0.1,65673,0.09049381024165182
Touchdown (+7),0.15,84833,0.14521471597137905
Touchdown (+7),0.2,124640,0.1994303594351733
Touchdown (+7),0.25,171384,0.2526665266302572
Touchdown (+7),0.3,220593,0.3026569292769943
Touchdown (+7),0.35,250152,0.3521019220314049
Touchdown (+7),0.4,274794,0.40007787651841015
Touchdown (+7),0.45000002,255344,0.4497227269879065
Touchdown (+7),0.5,223199,0.49818323558797306
Touchdown (+7),0.55,180956,0.5493103295828821
Touchdown (+7),0.6,115273,0.6004701881620154
Touchdown (+7),0.65000004,78894,0.6489213374908105
Touchdown (+7),0.7,42720,0.7050795880149813
Touchdown (+7),0.75,24109,0.7522087187357418
Touchdown (+7),0.8,19063,0.8038084246970572
Touchdown (+7),0.85,10984,0.8518754552075747
Touchdown (+7),0.90000004,11874,0.9050025265285497
Touchdown (+7),0.95,1344,0.9479166666666666
