season,team,team_talent_weighted
2017,Northern Illinois,1783.049973
2017,Northwestern,1906.419272
2017,Notre Dame,2454.674998
2017,Ohio,895.8261953
2017,Ohio State,2527.561284
2017,Oklahoma,2449.145229
2017,Oklahoma State,2319.01602
2017,Old Dominion,2074.868718
2017,Ole Miss,2416.479152
2017,Oregon,2339.287382
2017,Oregon State,2231.900288
2017,Penn State,2417.302083
2017,Pittsburgh,2336.336634
2017,Purdue,2086.563157
2017,Rice,2139.33189
2017,Rutgers,2293.805256
2017,San Diego State,2181.1218
2017,San José State,2127.521823
2017,South Carolina,2391.217669
2017,Stanford,2424.29775
2017,Syracuse,2124.824012
2017,TCU,2355.806277
2017,Tennessee,2458.709302
2017,Texas,2421.706487
2017,Texas A&M,2465.650049
2017,Texas Tech,2286.058424
2017,Toledo,1729.488974
2017,UCLA,2453.302715
2017,UNLV,2113.131207
2017,USC,2508.165696
2017,UTEP,1885.793097
2017,Utah,2298.046434
2017,Utah State,1968.033903
2017,Vanderbilt,2273.904633
2017,Virginia,2230.055843
2017,Virginia Tech,2369.286147
2017,Wake Forest,2151.33108
2017,Washington,2389.613775
2017,Washington State,2263.54028
2017,West Virginia,2306.742236
2017,Western Kentucky,2116.611769
2017,Western Michigan,1497.812955
2017,Wisconsin,2342.130478
2017,Wyoming,2072.763706
2018,Air Force,1056.681202
2018,Akron,1289.364227
2018,Alabama,2552.242763
2018,Arizona,2324.951277
2018,Arizona State,2354.403588
2018,Arkansas,2376.197537
2018,Army,1190.761625
2018,Auburn,2447.166804
2018,BYU,2027.58373
2018,Ball State,1641.244947
2018,Baylor,2373.125448
2018,Boise State,2244.393015
2018,Boston College,2154.23633
2018,Bowling Green,1632.434122
2018,Buffalo,1471.089504
2018,California,2270.333215
2018,Central Michigan,1937.782441
2018,Charlotte,2104.523961
2018,Clemson,2485.616003
2018,Colorado,2283.774776
2018,Colorado State,2191.954331
2018,Duke,2317.698311
2018,Eastern Michigan,1821.210252
2018,Florida,2438.322955
2018,Florida Atlantic,2217.295236
2018,Florida State,2505.725115
2018,Fresno State,2141.262644
2018,Georgia,2529.756568
2018,Georgia Tech,2261.510837
2018,Hawai'i,2030.388381
2018,Illinois,2213.810267
2018,Indiana,2258.510243
2018,Iowa,2198.45148
2018,Iowa State,2257.789896
2018,Kansas,2208.229213
2018,Kansas State,2228.146851
2018,Kent State,1628.569933
2018,Kentucky,2362.693296
2018,LSU,2504.989331
2018,Liberty,618.3777465
2018,Louisiana Tech,2188.187065
2018,Louisville,2355.654876
2018,Marshall,2046.794349
2018,Maryland,2352.849865
2018,Miami,2442.277965
2018,Miami (OH),1756.959297
2018,Michigan,2459.734407
2018,Michigan State,2327.845047
2018,Middle Tennessee,2170.076016
2018,Minnesota,2290.724762
2018,Mississippi State,2406.345818
2018,Missouri,2328.229028
2018,NC State,2295.588573
2018,Nebraska,2369.410842
2018,Nevada,2158.242411
2018,New Mexico,2129.78093
2018,New Mexico State,1138.286932
2018,North Carolina,2378.228368
2018,North Texas,2076.582631
2018,Northern Illinois,1885.821429
2018,Northwestern,2180.688292
2018,Notre Dame,2447.317381
2018,Ohio,1752.665011
2018,Ohio State,2544.317784
2018,Oklahoma,2470.673858
2018,Oklahoma State,2335.832622
2018,Old Dominion,2055.502994
2018,Ole Miss,2390.04158
2018,Oregon,2396.63502
2018,Oregon State,2200.972531
2018,Penn State,2455.588709
2018,Pittsburgh,2298.169061
2018,Purdue,2169.072588
2018,Rice,2093.554112
2018,Rutgers,2280.19438
2018,San Diego State,2193.045836
2018,San José State,2135.513949
2018,South Carolina,2414.998657
2018,Stanford,2397.273208
2018,Syracuse,2164.797307
2018,TCU,2342.237479
2018,Tennessee,2432.944417
2018,Texas,2470.504525
2018,Texas A&M,2450.077846
2018,Texas Tech,2262.093709
2018,Toledo,2092.922674
2018,UAB,1934.305084
2018,UCLA,2421.968203
2018,UNLV,2077.950447
2018,USC,2511.835483
2018,UTEP,1948.175971
2018,Utah,2316.776216
2018,Utah State,1973.8326
2018,Vanderbilt,2271.970061
2018,Virginia,2153.279075
2018,Virginia Tech,2371.027066
2018,Wake Forest,2195.33892
2018,Washington,2425.507374
2018,Washington State,2282.233191
2018,West Virginia,2350.218639
2018,Western Kentucky,2078.107642
2018,Western Michigan,1836.232137
2018,Wisconsin,2338.732415
2018,Wyoming,2047.700859
2019,Air Force,1067.352061
2019,Akron,1612.375409
2019,Alabama,2545.525709
2019,Arizona,2245.010653
2019,Arizona State,2367.138173
2019,Arkansas,2381.841318
2019,Army,470.6176934
2019,Auburn,2454.322376
2019,BYU,2169.297655
2019,Ball State,1790.47706
2019,Baylor,2367.255455
2019,Boise State,2255.503185
2019,Boston College,2251.049396
2019,Bowling Green,1696.006888
2019,Buffalo,1687.23055
2019,California,2278.038413
2019,Central Michigan,1928.4684
2019,Charlotte,1963.170702
2019,Clemson,2490.396049
2019,Colorado,2322.653154
2019,Colorado State,2219.166009
2019,Duke,2311.673384
2019,Eastern Michigan,1963.512302
2019,Florida,2459.167611
2019,Florida Atlantic,2205.002185
2019,Florida State,2496.909172
2019,Fresno State,2197.589264
2019,Georgia,2538.902724
2019,Georgia Tech,2313.137076
2019,Hawai'i,2053.767511
2019,Illinois,2324.134662
2019,Indiana,2299.297398
2019,Iowa,2297.310161
2019,Iowa State,2288.750036
2019,Kansas,2149.595882
2019,Kansas State,2252.863171
2019,Kent State,1917.182062
2019,Kentucky,2369.727905
2019,LSU,2515.404408
2019,Liberty,1303.686364
2019,Louisiana Tech,2175.856275
2019,Louisville,2314.280849
2019,Marshall,2160.119551
2019,Maryland,2340.572913
2019,Miami,2435.413458
2019,Miami (OH),2001.53138
2019,Michigan,2476.496673
2019,Michigan State,2348.255737
2019,Middle Tennessee,2161.193747
2019,Minnesota,2322.581108
2019,Mississippi State,2399.401032
2019,Missouri,2319.418349
2019,NC State,2328.848751
2019,Nebraska,2403.776119
2019,Nevada,2178.015209
2019,New Mexico,2061.025355
2019,New Mexico State,1486.145619
2019,North Carolina,2379.276764
2019,North Texas,2136.720198
2019,Northern Illinois,1806.762665
2019,Northwestern,2280.347779
2019,Notre Dame,2449.348129
2019,Ohio,1949.635387
2019,Ohio State,2541.906688
2019,Oklahoma,2482.240214
2019,Oklahoma State,2326.281321
2019,Old Dominion,2097.714466
2019,Ole Miss,2386.859727
2019,Oregon,2447.756193
2019,Oregon State,2288.012861
2019,Penn State,2470.611852
2019,Pittsburgh,2312.185371
2019,Purdue,2290.526666
2019,Rice,2049.093802
2019,Rutgers,2273.174226
2019,San Diego State,2208.395769
2019,San José State,2095.412914
2019,South Carolina,2414.172849
2019,Stanford,2407.580693
2019,Syracuse,2219.904188
2019,TCU,2361.915408
2019,Tennessee,2459.282013
2019,Texas,2480.449787
2019,Texas A&M,2473.058727
2019,Texas Tech,2277.400812
2019,Toledo,2103.717363
2019,UAB,2093.37463
2019,UCLA,2409.737182
2019,UNLV,2062.422523
2019,USC,2488.062611
2019,UTEP,2080.511993
2019,Utah,2313.911783
2019,Utah State,2081.676006
2019,Vanderbilt,2276.193025
2019,Virginia,2258.659001
2019,Virginia Tech,2379.73185
2019,Wake Forest,2244.334075
2019,Washington,2425.679009
2019,Washington State,2262.691677
2019,West Virginia,2302.566611
2019,Western Kentucky,2119.737781
2019,Western Michigan,1987.706119
2019,Wisconsin,2361.145252
2019,Wyoming,2057.626286
2020,Air Force,1698.310491
2020,Akron,2039.39021
2020,Alabama,2550.065948
2020,Arizona,2262.307198
2020,Arizona State,2371.37095
2020,Arkansas,2390.968094
2020,Army,1047.594809
2020,Auburn,2445.693844
2020,BYU,2241.471837
2020,Ball State,2035.2971
2020,Baylor,2332.451233
2020,Boise State,2271.158048
2020,Boston College,2282.920002
2020,Bowling Green,2117.123855
2020,Buffalo,2024.671061
2020,California,2325.337607
2020,Central Michigan,2097.435742
2020,Charlotte,2059.214408
2020,Clemson,2517.900086
2020,Colorado,2325.723832
2020,Colorado State,2183.098493
2020,Duke,2305.972308
2020,Eastern Michigan,2124.475327
2020,Florida,2487.030885
2020,Florida Atlantic,2232.422085
2020,Florida State,2453.52665
2020,Fresno State,2195.782159
2020,Georgia,2560.806407
2020,Georgia Tech,2343.86891
2020,Hawai'i,2096.431717
2020,Illinois,2325.011639
2020,Indiana,2300.263578
2020,Iowa,2324.809237
2020,Iowa State,2306.55873
2020,Kansas,2224.604146
2020,Kansas State,2273.688183
2020,Kent State,2081.424087
2020,Kentucky,2399.103319
2020,LSU,2501.86252
2020,Liberty,2025.843713
2020,Louisiana Tech,2205.61579
2020,Louisville,2299.933266
2020,Marshall,2149.465729
2020,Maryland,2334.645121
2020,Miami,2454.345366
2020,Miami (OH),2139.538592
2020,Michigan,2450.637176
2020,Michigan State,2315.247275
2020,Middle Tennessee,2184.422635
2020,Minnesota,2317.436549
2020,Mississippi State,2374.149961
2020,Missouri,2295.527527
2020,NC State,2364.829455
2020,Nebraska,2401.253338
2020,Nevada,2166.865439
2020,New Mexico,2042.117514
2020,North Carolina,2410.354322
2020,North Texas,2160.275587
2020,Northern Illinois,2088.944426
2020,Northwestern,2323.938175
2020,Notre Dame,2464.882815
2020,Ohio,2098.617626
2020,Ohio State,2543.790166
2020,Oklahoma,2468.626432
2020,Oklahoma State,2321.01656
2020,Ole Miss,2382.376805
2020,Oregon,2474.768459
2020,Oregon State,2314.639223
2020,Penn State,2471.154972
2020,Pittsburgh,2327.97935
2020,Purdue,2328.215773
2020,Rice,2112.355184
2020,Rutgers,2287.115992
2020,San Diego State,2205.059769
2020,San José State,2172.79537
2020,South Carolina,2426.899546
2020,Stanford,2431.700563
2020,Syracuse,2263.656481
2020,TCU,2359.457782
2020,Tennessee,2431.000012
2020,Texas,2479.87376
2020,Texas A&M,2485.996644
2020,Texas Tech,2295.28209
2020,Toledo,2195.183157
2020,UAB,2150.702524
2020,UCLA,2380.84856
2020,UNLV,2182.724483
2020,USC,2468.56942
2020,UTEP,2101.280104
2020,Utah,2337.703521
2020,Utah State,2162.236659
2020,Vanderbilt,2279.211858
2020,Virginia,2267.722207
2020,Virginia Tech,2335.728162
2020,Wake Forest,2275.17572
2020,Washington,2438.036903
2020,Washington State,2261.838631
2020,West Virginia,2289.032408
2020,Western Kentucky,2151.895367
2020,Western Michigan,2156.276558
2020,Wisconsin,2387.663304
2020,Wyoming,2150.284399
2021,Air Force,1435.465547
2021,Akron,2110.858377
2021,Alabama,2553.239958
2021,Arizona,2255.819227
2021,Arizona State,2367.80412
2021,Arkansas,2386.913657
2021,Army,1495.356424
2021,Auburn,2423.639417
2021,BYU,2269.551406
2021,Ball State,2131.022341
2021,Baylor,2350.593115
2021,Boise State,2264.876166
2021,Boston College,2350.932374
2021,Bowling Green,2138.486344
2021,Buffalo,1950.106897
2021,California,2341.168541
2021,Central Michigan,2106.646318
2021,Charlotte,2192.775961
2021,Clemson,2526.545344
2021,Colorado,2303.022466
2021,Colorado State,2128.692839
2021,Duke,2293.551974
2021,Eastern Michigan,2146.268797
2021,Florida,2476.625957
2021,Florida Atlantic,2233.734638
2021,Florida State,2410.892302
2021,Fresno State,2218.280601
2021,Georgia,2560.190747
2021,Georgia Tech,2360.336992
2021,Hawai'i,1975.333626
2021,Illinois,2318.820877
2021,Indiana,2315.662082
2021,Iowa,2360.7047
2021,Iowa State,2304.801435
2021,Kansas,2236.680724
2021,Kansas State,2268.782334
2021,Kent State,2080.392953
2021,Kentucky,2387.417311
2021,LSU,2493.972227
2021,Liberty,2107.598661
2021,Louisiana Tech,2181.60971
2021,Louisville,2311.06367
2021,Marshall,2072.445102
2021,Maryland,2328.648131
2021,Miami,2468.860022
2021,Miami (OH),2135.10033
2021,Michigan,2453.587942
2021,Michigan State,2332.864153
2021,Middle Tennessee,2177.619696
2021,Minnesota,2312.79492
2021,Mississippi State,2382.521098
2021,Missouri,2322.528445
2021,NC State,2381.417454
2021,Nebraska,2399.656523
2021,Nevada,2144.365772
2021,New Mexico,2099.111142
2021,North Carolina,2442.022529
2021,North Texas,2163.159734
2021,Northern Illinois,2137.584921
2021,Northwestern,2328.005047
2021,Notre Dame,2466.089458
2021,Ohio,2145.998246
2021,Ohio State,2556.641113
2021,Oklahoma,2473.567161
2021,Oklahoma State,2328.487852
2021,Ole Miss,2402.080005
2021,Oregon,2487.234986
2021,Oregon State,2335.318455
2021,Penn State,2443.584388
2021,Pittsburgh,2330.022826
2021,Purdue,2314.454427
2021,Rice,2124.909084
2021,Rutgers,2298.65071
2021,San Diego State,2228.407095
2021,San José State,2184.840545
2021,South Carolina,2404.391574
2021,Stanford,2404.847685
2021,Syracuse,2267.686041
2021,TCU,2371.809977
2021,Tennessee,2419.177169
2021,Texas,2464.162229
2021,Texas A&M,2489.79563
2021,Texas Tech,2320.152173
2021,Toledo,2212.103619
2021,UAB,2118.450682
2021,UCLA,2400.625233
2021,UNLV,2221.18496
2021,USC,2479.371457
2021,UTEP,2071.940818
2021,Utah,2373.282174
2021,Utah State,2145.294641
2021,Vanderbilt,2257.646696
2021,Virginia,2306.195063
2021,Virginia Tech,2345.351212
2021,Wake Forest,2273.575866
2021,Washington,2439.091449
2021,Washington State,2279.563318
2021,West Virginia,2269.937646
2021,Western Kentucky,2214.009151
2021,Western Michigan,2180.026479
2021,Wisconsin,2414.059459
2021,Wyoming,2154.260714
2022,Air Force,510.3042258
2022,Akron,2211.865604
2022,Alabama,2556.030771
2022,Arizona,2319.405424
2022,Arizona State,2216.111263
2022,Arkansas,2377.530065
2022,Arkansas State,2230.500575
2022,Army,1495.911164
2022,Auburn,2403.900088
2022,BYU,2261.982567
2022,Ball State,2160.790725
2022,Baylor,2342.654024
2022,Boise State,2243.802899
2022,Boston College,2313.178494
2022,Bowling Green,2144.757918
2022,Buffalo,2173.12905
2022,California,2309.853066
2022,Central Michigan,2152.123161
2022,Charlotte,2196.264114
2022,Cincinnati,2304.449587
2022,Clemson,2523.566695
2022,Coastal Carolina,2181.251964
2022,Colorado,1986.203853
2022,Colorado State,2162.836033
2022,Duke,2278.213563
2022,East Carolina,2200.417965
2022,Eastern Michigan,2180.77877
2022,Florida,2453.795106
2022,Florida Atlantic,2231.058859
2022,Florida State,2394.308485
2022,Fresno State,2254.893539
2022,Georgia,2544.628764
2022,Georgia Southern,2151.100317
2022,Georgia State,2159.455485
2022,Georgia Tech,2356.728228
2022,Hawai'i,2154.98258
2022,Houston,2316.932649
2022,Illinois,2321.232196
2022,Indiana,2338.055807
2022,Iowa,2364.763547
2022,Iowa State,2316.38041
2022,James Madison,1321.007101
2022,Kansas,2260.239556
2022,Kansas State,2287.648104
2022,Kent State,2159.949674
2022,Kentucky,2378.167828
2022,LSU,2460.779935
2022,Liberty,2095.133052
2022,Louisiana,2208.229001
2022,Louisiana Tech,2168.740588
2022,Louisville,2305.287896
2022,Marshall,2245.308518
2022,Maryland,2348.301948
2022,Memphis,2233.635906
2022,Miami,2443.192512
2022,Miami (OH),2182.631962
2022,Michigan,2461.378448
2022,Michigan State,2355.814796
2022,Middle Tennessee,2171.896444
2022,Minnesota,2308.151367
2022,Mississippi State,2389.417324
2022,Missouri,2369.955056
2022,NC State,2375.635111
2022,Navy,1857.4672190000001
2022,Nebraska,2398.487812
2022,Nevada,2185.427492
2022,New Mexico,2063.286218
2022,New Mexico State,2112.940415
2022,North Carolina,2423.735944
2022,North Texas,2180.151338
2022,Northern Illinois,2158.622345
2022,Northwestern,2332.025087
2022,Notre Dame,2472.343622
2022,Ohio,2129.002394
2022,Ohio State,2553.567462
2022,Oklahoma,2459.920258
2022,Oklahoma State,2344.233855
2022,Old Dominion,2124.284864
2022,Ole Miss,2387.384472
2022,Oregon,2439.177345
2022,Oregon State,2313.856734
2022,Penn State,2458.201227
2022,Pittsburgh,2337.15304
2022,Purdue,2295.021323
2022,Rice,2174.449384
2022,Rutgers,2302.007273
2022,SMU,2321.451693
2022,San Diego State,2241.76615
2022,San José State,2214.386008
2022,South Alabama,2236.998858
2022,South Carolina,2400.890356
2022,South Florida,2253.340689
2022,Stanford,2397.321372
2022,Syracuse,2286.604094
2022,TCU,2366.921559
2022,Temple,2223.423348
2022,Tennessee,2419.920004
2022,Texas,2488.441655
2022,Texas A&M,2498.756321
2022,Texas State,2131.559418
2022,Texas Tech,2341.294117
2022,Toledo,2236.753809
2022,Troy,2228.914969
2022,Tulane,2253.494061
2022,Tulsa,2232.93098
2022,UAB,2180.066594
2022,UCF,2320.325126
2022,UCLA,2407.478643
2022,UNLV,2193.77484
2022,USC,2467.097255
2022,UTEP,2070.649668
2022,Utah,2378.236563
2022,Utah State,2151.704522
2022,Vanderbilt,2301.020144
2022,Virginia,2300.332208
2022,Virginia Tech,2311.341009
2022,Wake Forest,2267.964619
2022,Washington,2387.003159
2022,Washington State,2258.04658
2022,West Virginia,2327.346952
2022,Western Kentucky,2230.027811
2022,Western Michigan,2200.081983
2022,Wisconsin,2393.201607
2022,Wyoming,2143.065622
2023,Air Force,268.4830922
2023,Akron,2219.100306
2023,Alabama,2572.246911
2023,Arizona,2366.901158
2023,Arizona State,2364.906629
2023,Arkansas,2396.637603
2023,Arkansas State,1440.787579
2023,Army,1437.189777
2023,Auburn,2429.680335
2023,BYU,2277.198736
2023,Ball State,2179.256204
2023,Baylor,2363.1766
2023,Boise State,2262.901645
2023,Boston College,2320.397156
2023,Bowling Green,2188.656977
2023,Buffalo,2226.247801
2023,California,2362.828779
2023,Central Michigan,2193.861704
2023,Charlotte,2285.012886
2023,Cincinnati,2351.954129
2023,Clemson,2514.289152
2023,Coastal Carolina,2218.428853
2023,Colorado,2387.183211
2023,Colorado State,2249.585926
2023,Duke,2302.034772
2023,East Carolina,2265.633761
2023,Eastern Michigan,2213.602118
2023,Florida,2474.303237
2023,Florida Atlantic,2287.934542
2023,Florida State,2429.444204
2023,Fresno State,2258.599036
2023,Georgia,2547.947634
2023,Georgia Southern,2195.464183
2023,Georgia State,2163.548819
2023,Georgia Tech,2373.113017
2023,Hawai'i,2151.980793
2023,Houston,2358.935755
2023,Illinois,2328.142562
2023,Indiana,2348.368147
2023,Iowa,2380.705928
2023,Iowa State,2331.106456
2023,Jacksonville State,1752.614493
2023,James Madison,2030.969338
2023,Kansas,2325.61267
2023,Kansas State,2325.625777
2023,Kent State,2192.699861
2023,Kentucky,2406.754228
2023,LSU,2514.473362
2023,Liberty,2185.746784
2023,Louisiana,2223.880372
2023,Louisiana Tech,2109.075172
2023,Louisville,2409.615577
2023,Marshall,2252.648711
2023,Maryland,2361.905594
2023,Memphis,2326.647204
2023,Miami,2482.173582
2023,Miami (OH),2220.690242
2023,Michigan,2473.16261
2023,Michigan State,2406.07405
2023,Middle Tennessee,2136.434789
2023,Minnesota,2322.519084
2023,Mississippi State,2409.378096
2023,Missouri,2418.350547
2023,NC State,2381.85107
2023,Navy,1373.967306
2023,Nebraska,2429.413201
2023,Nevada,2241.215062
2023,New Mexico,2055.487696
2023,New Mexico State,1817.448453
2023,North Carolina,2450.979429
2023,North Texas,2214.318091
2023,Northern Illinois,2178.410456
2023,Northwestern,2340.919128
2023,Notre Dame,2478.067951
2023,Ohio,2179.091469
2023,Ohio State,2548.451415
2023,Oklahoma,2493.857613
2023,Oklahoma State,2348.615328
2023,Old Dominion,2138.393649
2023,Ole Miss,2424.410622
2023,Oregon,2492.460907
2023,Oregon State,2339.129907
2023,Penn State,2481.241396
2023,Pittsburgh,2356.406172
2023,Purdue,2347.709572
2023,Rice,2224.853264
2023,Rutgers,2307.006435
2023,SMU,2389.876241
2023,San Diego State,2267.196678
2023,San José State,2224.652998
2023,South Alabama,2262.089172
2023,South Carolina,2426.074479
2023,South Florida,2308.244414
2023,Stanford,2377.446135
2023,Syracuse,2282.29699
2023,TCU,2430.251966
2023,Temple,2263.652082
2023,Tennessee,2461.158862
2023,Texas,2519.328635
2023,Texas A&M,2531.95671
2023,Texas State,2230.243961
2023,Texas Tech,2370.415325
2023,Toledo,2261.026402
2023,Troy,2265.253644
2023,Tulane,2284.081273
2023,Tulsa,2252.939564
2023,UAB,2245.32698
2023,UCF,2395.93347
2023,UCLA,2421.847513
2023,UNLV,2183.090989
2023,USC,2513.423114
2023,UTEP,2023.522758
2023,Utah,2393.176087
