season,team,team_talent_weighted
2015,Air Force,821.2237877
2015,Akron,2159.847659
2015,Alabama,2562.795629
2015,Arizona,2286.866482
2015,Arizona State,2324.975577
2015,Arkansas,2387.386336
2015,Army,461.9991295
2015,Auburn,2484.205316
2015,BYU,2280.325846
2015,Ball State,1990.690378
2015,Baylor,2241.59961
2015,Boise State,2052.102321
2015,Boston College,1791.664001
2015,Buffalo,2080.346893
2015,California,2320.237912
2015,Central Michigan,2110.084375
2015,Clemson,2462.827505
2015,Colorado,2164.905876
2015,Colorado State,2141.683555
2015,Duke,2299.57935
2015,Eastern Michigan,1999.996891
2015,Florida,2466.117932
2015,Florida Atlantic,2153.823533
2015,Florida State,2435.424678
2015,Fresno State,2201.97974
2015,Georgia,2483.65808
2015,Georgia Tech,2188.042789
2015,Hawai'i,2104.982071
2015,Illinois,2097.203791
2015,Indiana,2269.88357
2015,Iowa,2218.630112
2015,Iowa State,2152.105319
2015,Kansas,2106.056067
2015,Kansas State,2209.914398
2015,Kent State,2054.425314
2015,Kentucky,2325.894039
2015,LSU,2493.258956
2015,Louisiana Tech,2205.460295
2015,Louisville,2135.410728
2015,Marshall,2242.714885
2015,Maryland,2121.978805
2015,Miami,2408.509181
2015,Miami (OH),2056.602182
2015,Michigan,2369.255796
2015,Michigan State,2347.529547
2015,Middle Tennessee,2168.681292
2015,Minnesota,2241.534676
2015,Mississippi State,2364.733454
2015,Missouri,2274.670695
2015,NC State,2294.587907
2015,Nebraska,2256.760391
2015,Nevada,2048.089228
2015,New Mexico,2122.283017
2015,New Mexico State,1563.843568
2015,North Carolina,2398.516759
2015,North Texas,2116.275519
2015,Northern Illinois,2068.410238
2015,Northwestern,2245.766535
2015,Notre Dame,2456.905057
2015,Ohio,2044.027855
2015,Ohio State,2514.421329
2015,Oklahoma,2401.732224
2015,Oklahoma State,2335.956347
2015,Old Dominion,2018.355962
2015,Ole Miss,2414.921445
2015,Oregon,2208.554106
2015,Oregon State,2270.584619
2015,Penn State,2376.675802
2015,Pittsburgh,2312.260837
2015,Purdue,2161.257681
2015,Rice,2146.939376
2015,Rutgers,2324.346079
2015,San Diego State,2210.314683
2015,San José State,2164.128526
2015,South Carolina,2411.392906
2015,Stanford,2421.86326
2015,Syracuse,2064.113773
2015,TCU,2256.238796
2015,Tennessee,2458.962834
2015,Texas,2327.936087
2015,Texas A&M,2491.028712
2015,Texas Tech,2108.258402
2015,Toledo,2153.102242
2015,UCLA,2462.341525
2015,UNLV,2099.72111
2015,USC,2530.477378
2015,UTEP,1978.355642
2015,Utah,2231.305355
2015,Utah State,2109.353567
2015,Vanderbilt,2311.70785
2015,Virginia,2059.40498
2015,Virginia Tech,2368.260115
2015,Wake Forest,1872.011829
2015,Washington,2361.914827
2015,Washington State,2269.156315
2015,West Virginia,2167.236838
2015,Western Kentucky,2126.09911
2015,Western Michigan,2151.287381
2015,Wisconsin,2206.384881
2015,Wyoming,2067.013312
2016,Air Force,676.7610249
2016,Akron,1654.490458
2016,Alabama,2561.7151
2016,Arizona,2308.092244
2016,Arizona State,2338.046413
2016,Arkansas,2385.228183
2016,Army,1016.435129
2016,Auburn,2476.115353
2016,BYU,1841.864149
2016,Ball State,1859.410126
2016,Baylor,2203.03386
2016,Boise State,2172.312987
2016,Boston College,2193.805061
2016,Bowling Green,1737.581932
2016,Buffalo,1553.764352
2016,California,2315.240102
2016,Central Michigan,1695.342255
2016,Charlotte,2090.781333
2016,Clemson,2479.4248
2016,Colorado,2087.863979
2016,Colorado State,2153.794583
2016,Duke,2301.48686
2016,Eastern Michigan,1882.354231
2016,Florida,2449.594738
2016,Florida Atlantic,2143.842319
2016,Florida State,2476.993394
2016,Fresno State,1984.288347
2016,Georgia,2483.567309
2016,Georgia Tech,2119.908899
2016,Hawai'i,1497.499461
2016,Illinois,2115.879909
2016,Indiana,2278.238248
2016,Iowa,2247.446786
2016,Iowa State,2215.905504
2016,Kansas,2211.893206
2016,Kansas State,2147.594165
2016,Kent State,1449.624952
2016,Kentucky,2331.771849
2016,LSU,2515.280997
2016,Louisiana Tech,2171.625588
2016,Louisville,2248.477319
2016,Marshall,2202.781807
2016,Maryland,2252.25199
2016,Miami,2411.711933
2016,Miami (OH),2092.706606
2016,Michigan,2463.770663
2016,Michigan State,2362.902143
2016,Middle Tennessee,2154.086834
2016,Minnesota,2234.926441
2016,Mississippi State,2378.478385
2016,Missouri,2329.328263
2016,NC State,2301.570827
2016,Nebraska,2319.547327
2016,Nevada,1833.661752
2016,New Mexico,2041.719535
2016,New Mexico State,1304.780965
2016,North Carolina,2378.241713
2016,North Texas,2038.952394
2016,Northern Illinois,2076.312391
2016,Northwestern,2240.134239
2016,Notre Dame,2461.106973
2016,Ohio,1909.23434
2016,Ohio State,2517.323344
2016,Oklahoma,2422.773975
2016,Oklahoma State,2297.320514
2016,Old Dominion,2116.067624
2016,Ole Miss,2450.181534
2016,Oregon,2324.894531
2016,Oregon State,2256.234064
2016,Penn State,2397.595759
2016,Pittsburgh,2334.101638
2016,Purdue,2143.362057
2016,Rice,2147.349927
2016,Rutgers,2316.104151
2016,San Diego State,2174.45703
2016,San José State,2079.566498
2016,South Carolina,2392.088966
2016,Stanford,2399.229908
2016,Syracuse,2232.40505
2016,TCU,2353.196673
2016,Tennessee,2474.77117
2016,Texas,2446.580357
2016,Texas A&M,2483.390794
2016,Texas Tech,2260.630597
2016,Toledo,2066.383887
2016,UCLA,2468.328483
2016,UNLV,2043.993328
2016,USC,2511.289683
2016,UTEP,1971.746261
2016,Utah,2275.346245
2016,Utah State,1815.123057
2016,Vanderbilt,2325.075666
2016,Virginia,2106.570191
2016,Virginia Tech,2356.592294
2016,Wake Forest,2207.680475
2016,Washington,2384.178946
2016,Washington State,2265.053418
2016,West Virginia,2291.787944
2016,Western Kentucky,2145.763208
2016,Western Michigan,2029.522128
2016,Wisconsin,2315.716659
2016,Wyoming,2055.464175
2017,Air Force,1148.541051
2017,Akron,1219.638891
2017,Alabama,2569.798772
2017,Arizona,2345.45573
2017,Arizona State,2333.922604
2017,Arkansas,2403.564911
2017,Army,155.4497403
2017,Auburn,2457.433604
2017,BYU,1820.600256
2017,Ball State,1478.194355
2017,Baylor,2334.480953
2017,Boise State,2199.824459
2017,Boston College,2138.716827
2017,Bowling Green,1359.671681
2017,Buffalo,1434.274962
2017,California,2303.793374
2017,Central Michigan,1566.524877
2017,Charlotte,2061.351622
2017,Clemson,2462.788895
2017,Colorado,2255.049881
2017,Colorado State,2177.134477
2017,Duke,2315.508518
2017,Eastern Michigan,998.464088
2017,Florida,2445.037865
2017,Florida Atlantic,2195.19826
2017,Florida State,2524.932214
2017,Fresno State,2092.198554
2017,Georgia,2530.260615
2017,Georgia Tech,2220.450605
2017,Hawai'i,1689.802234
2017,Illinois,2135.507437
2017,Indiana,2249.634414
2017,Iowa,2190.027074
2017,Iowa State,2238.601776
2017,Kansas,2175.911805
2017,Kansas State,2169.129419
2017,Kent State,1180.37537
2017,Kentucky,2352.024602
2017,LSU,2509.985585
2017,Louisiana Tech,2136.42758
2017,Louisville,2317.201946
2017,Marshall,2076.75811
2017,Maryland,2319.030717
2017,Miami,2397.429824
2017,Miami (OH),1294.694738
2017,Michigan,2465.75158
2017,Michigan State,2322.910655
2017,Middle Tennessee,2120.594013
2017,Minnesota,2255.874694
2017,Mississippi State,2385.622498
2017,Missouri,2295.408119
2017,NC State,2296.494826
2017,Nebraska,2374.880345
2017,Nevada,1962.145575
2017,New Mexico,2100.846653
2017,New Mexico State,877.248011
2017,North Carolina,2387.854923
2017,North Texas,2020.848344
