season,school_mascot,head_coach,first_season,offensive_coordinators,defensive_coordinators,source_title,source_revid
2002,Air Force Falcons,Fisher DeBerry,1984,,Richard Bell,2002 Air Force Falcons football team,1330389250
2002,Akron Zips,Lee Owens,1995,Paul Winters,Joe Tresey,2002 Akron Zips football team,1339376862
2002,Alabama Crimson Tide,Dennis Franchione,2001,Les Koenning,Carl Torbush,2002 Alabama Crimson Tide football team,1339602321
2002,Arizona State Sun Devils,Dirk Koetter,2001,,Brent Guy,2002 Arizona State Sun Devils football team,1362996894
2002,Arizona Wildcats,John Mackovic,2001,Rick Dykes,Larry Mac Duff,2002 Arizona Wildcats football team,1339129105
2002,Arkansas Razorbacks,Houston Nutt,1998,,Dave Wommack,2002 Arkansas Razorbacks football team,1368146061
2002,Arkansas State Red Wolves,Steve Roberts,2002,Doug Ruse,Kevin Corless / Jack Curtis,2002 Arkansas State Indians football team,1332278267
2002,Army Black Knights,Todd Berry,2000,John Bond,Dennis Therrell,2002 Army Black Knights football team,1340738271
2002,Auburn Tigers,Tommy Tuberville,1999,Bobby Petrino,Gene Chizik,2002 Auburn Tigers football team,1369650098
2002,BYU Cougars,Gary Crowton,2001,Mike Borich,Ken Schmidt,2002 BYU Cougars football team,1363038668
2002,Ball State Cardinals,Bill Lynch,1995,,,2002 Ball State Cardinals football team,1340703344
2002,Baylor Bears,Kevin Steele,1999,Dave Baldwin,Bob Trott,2002 Baylor Bears football team,1334658649
2002,Boise State Broncos,Dan Hawkins,2001,Chris Petersen,Ron Collins,2002 Boise State Broncos football team,1338870435
2002,Boston College Eagles,Tom O'Brien,1997,Dana Bible,Frank Spaziani,2002 Boston College Eagles football team,1374761233
2002,Bowling Green Falcons,Urban Meyer,2001,Gregg Brandon,Tim Beckman,2002 Bowling Green Falcons football team,1339602358
2002,Buffalo Bulls,Jim Hofher,2001,,,2002 Buffalo Bulls football team,1339602367
2002,California Golden Bears,Jeff Tedford,2002,George Cortez,Bob Gregory,2002 California Golden Bears football team,1368150327
2002,Central Michigan Chippewas,Mike DeBord,2000,,,2002 Central Michigan Chippewas football team,1340705277
2002,Cincinnati Bearcats,Rick Minter,1994,Rusty Burns,A. J. Christoff,2002 Cincinnati Bearcats football team,1363020257
2002,Clemson Tigers,Tommy Bowden,1999,Brad Scott,John Lovett,2002 Clemson Tigers football team,1348503523
2002,Colorado Buffaloes,Gary Barnett,1999,Shawn Watson,Tom McMahon / Vince Okruch,2002 Colorado Buffaloes football team,1327597494
2002,Colorado State Rams,Sonny Lubick,1993,John Benton / Dan Hammerschmidt,Larry Kerr,2002 Colorado State Rams football team,1330375461
2002,Duke Blue Devils,Carl Franks,1999,,Ted Roof,2002 Duke Blue Devils football team,1338061856
2002,East Carolina Pirates,Steve Logan,1992,Doug Martin,Tim Rose,2002 East Carolina Pirates football team,1339602406
2002,Eastern Michigan Eagles,Jeff Woodruff,2000,Pete Alamar,,2002 Eastern Michigan Eagles football team,1359741342
2002,Florida Gators,Ron Zook,2002,Ed Zaunbrecher,John Thompson,2002 Florida Gators football team,1366230005
2002,Florida State Seminoles,Bobby Bowden,1976,Jeff Bowden,Mickey Andrews,2002 Florida State Seminoles football team,1335932912
2002,Fresno State Bulldogs,Pat Hill,1997,Frank Cignetti Jr.,Dan Brown,2002 Fresno State Bulldogs football team,1370159610
2002,Georgia Bulldogs,Mark Richt,2001,Neil Callaway,Brian VanGorder,2002 Georgia Bulldogs football team,1336804603
2002,Georgia Tech Yellow Jackets,Chan Gailey,2002,Bill O'Brien,Jon Tenuta,2002 Georgia Tech Yellow Jackets football team,1339602436
2002,Hawai'i Rainbow Warriors,June Jones,1999,,Kevin Lempa,2002 Hawaii Warriors football team,1338727615
2002,Houston Cougars,Dana Dimel,2000,Dave Warner / Clancy Barone,Dick Bumpas / Bradley Dale Peveto,2002 Houston Cougars football team,1339224762
2002,Illinois Fighting Illini,Ron Turner,1997,,Mike Cassity,2002 Illinois Fighting Illini football team,1339602444
2002,Indiana Hoosiers,Gerry DiNardo,2002,Al Borges,Tim Kish,2002 Indiana Hoosiers football team,1338061652
2002,Iowa Hawkeyes,Kirk Ferentz,1999,Ken O'Keefe,Norm Parker,2002 Iowa Hawkeyes football team,1373764106
2002,Iowa State Cyclones,Dan McCarney,1995,Steve Brickey,John Skladany,2002 Iowa State Cyclones football team,1339455134
2002,Kansas Jayhawks,Mark Mangino,2002,Nick Quartaro,Bill Young,2002 Kansas Jayhawks football team,1339602452
2002,Kansas State Wildcats,Bill Snyder,1989,Ron Hudson,Bret Bielema / Bob Elliott,2002 Kansas State Wildcats football team,1339452132
2002,Kent State Golden Flashes,Dean Pees,1998,,,2002 Kent State Golden Flashes football team,1347165330
2002,Kentucky Wildcats,Guy Morriss,2001,Brent Pease,John Goodner,2002 Kentucky Wildcats football team,1371608225
2002,LSU Tigers,Nick Saban,2000,Jimbo Fisher,Will Muschamp,2002 LSU Tigers football team,1338051713
2002,Louisiana Ragin' Cajuns,Rickey Bustle,2002,Rob Christophel,Brent Pry,2002 Louisiana–Lafayette Ragin' Cajuns football team,1340994944
2002,Louisiana Tech Bulldogs,Jack Bicknell Jr.,1999,Conroy Hines,Rick Smith / Randy Bates,2002 Louisiana Tech Bulldogs football team,1358110429
2002,Louisville Cardinals,John L. Smith,1998,John Pettas,Chris Smeland,2002 Louisville Cardinals football team,1350929711
2002,Marshall Thundering Herd,Bob Pruett,1996,Mark McHale / Larry Kueck,Bill Wilt,2002 Marshall Thundering Herd football team,1339280131
2002,Maryland Terrapins,Ralph Friedgen,2001,Charlie Taaffe,Gary Blackney,2002 Maryland Terrapins football team,1333754582
2002,Memphis Tigers,Tommy West,2001,Randy Fichtner,Rick Whitt,2002 Memphis Tigers football team,1339602496
2002,Miami (OH) RedHawks,Terry Hoeppner,2000,Shane Montgomery,Jon Wauford,2002 Miami RedHawks football team,1339602515
2002,Miami Hurricanes,Larry Coker,2001,Rob Chudzinski,Randy Shannon,2002 Miami Hurricanes football team,1339602505
2002,Michigan State Spartans,Bobby Williams,2000,Morris Watts,Bill Miller,2002 Michigan State Spartans football team,1339602528
2002,Michigan Wolverines,Lloyd Carr,1995,Terry Malone,Jim Herrmann,2002 Michigan Wolverines football team,1353064157
2002,Middle Tennessee Blue Raiders,Andy McCollum,1999,Steve Campbell / Blake Anderson,Steve Davis,2002 Middle Tennessee Blue Raiders football team,1362606896
2002,Minnesota Golden Gophers,Glen Mason,1997,Mitch Browning / Tony Petersen,Moe Ankney,2002 Minnesota Golden Gophers football team,1345485111
2002,Mississippi State Bulldogs,Jackie Sherrill,1991,Sparky Woods,Joe Lee Dunn,2002 Mississippi State Bulldogs football team,1337604346
2002,Missouri Tigers,Gary Pinkel,2001,Dave Christensen,Matt Eberflus,2002 Missouri Tigers football team,1332978354
2002,NC State Wolfpack,Chuck Amato,2000,Marty Galbraith,Chuck Amato,2002 NC State Wolfpack football team,1339602538
2002,Navy Midshipmen,Paul Johnson,2002,,Buddy Green,2002 Navy Midshipmen football team,1331025299
2002,Nebraska Cornhuskers,Frank Solich,1998,,Craig Bohl,2002 Nebraska Cornhuskers football team,1370115879
2002,Nevada Wolf Pack,Chris Tormey,2000,Phil Earley,Jeff Mills,2002 Nevada Wolf Pack football team,1363038559
2002,New Mexico Lobos,Rocky Long,1998,Dan Dodd,Bronco Mendenhall,2002 New Mexico Lobos football team,1355888913
2002,New Mexico State Aggies,Tony Samuel,1997,Barney Cotton,Steve Stanard,2002 New Mexico State Aggies football team,1339602565
2002,North Carolina Tar Heels,John Bunting,2001,Gary Tranquill,Dave Huxtable,2002 North Carolina Tar Heels football team,1336647631
2002,North Texas Mean Green,Darrell Dickey,1998,Ramon Flanigan,Gary DeLoach,2002 North Texas Mean Green football team,1340738337
2002,Northern Illinois Huskies,Joe Novak,1996,Dan Roushar,,2002 Northern Illinois Huskies football team,1339450912
2002,Northwestern Wildcats,Randy Walker,1999,Mike Dunbar,Greg Colby,2002 Northwestern Wildcats football team,1339602576
2002,Notre Dame Fighting Irish,Tyrone Willingham,2002,Bill Diedrick,Kent Baer,2002 Notre Dame Fighting Irish football team,1368182937
2002,Ohio Bobcats,Brian Knorr,2001,Greg Gregory,Tim DeRuyter,2002 Ohio Bobcats football team,1339602584
2002,Ohio State Buckeyes,Jim Tressel,2001,Jim Bollman,Mark Dantonio,2002 Ohio State Buckeyes football team,1342581278
2002,Oklahoma Sooners,Bob Stoops,1999,Chuck Long / Kevin Wilson,Mike Stoops / Brent Venables,2002 Oklahoma Sooners football team,1374438395
2002,Oklahoma State Cowboys,Les Miles,2001,Mike Gundy,Bill Clay,2002 Oklahoma State Cowboys football team,1339835421
2002,Ole Miss Rebels,David Cutcliffe,1999,John Latina,Chuck Driesbach,2002 Ole Miss Rebels football team,1332815034
2002,Oregon Ducks,Mike Bellotti,1995,Andy Ludwig,Nick Aliotti,2002 Oregon Ducks football team,1365737742
2002,Oregon State Beavers,Dennis Erickson,1999,Tim Lappano,Craig Bray,2002 Oregon State Beavers football team,1336501137
2002,Penn State Nittany Lions,Joe Paterno,1966,Fran Ganter,Tom Bradley,2002 Penn State Nittany Lions football team,1368186899
2002,Pittsburgh Panthers,Walt Harris,1997,J. D. Brookhart,Paul Rhoads,2002 Pittsburgh Panthers football team,1339291497
2002,Purdue Boilermakers,Joe Tiller,1997,Jim Chaney,Brock Spack,2002 Purdue Boilermakers football team,1351781540
2002,Rice Owls,Ken Hatfield,1994,Scott Wachenheim,Roger Hinshaw,2002 Rice Owls football team,1339602594
2002,Rutgers Scarlet Knights,Greg Schiano,2001,Bill Cubit,Paul Ferraro,2002 Rutgers Scarlet Knights football team,1334037930
2002,SMU Mustangs,Phil Bennett,2002,Larry Edmondson,Jim Gush,2002 SMU Mustangs football team,1339379295
2002,San Diego State Aztecs,Tom Craft,2002,,Thom Kaumeyer,2002 San Diego State Aztecs football team,1374099391
2002,San José State Spartans,Fitz Hill,2001,Norman Joseph,Ronnie Lee,2002 San Jose State Spartans football team,1330401211
2002,South Carolina Gamecocks,Lou Holtz,1999,Skip Holtz,Charlie Strong,2002 South Carolina Gamecocks football team,1350904210
2002,South Florida Bulls,Jim Leavitt,1997,Mike Hobbie,Rick Kravitz / Wally Burnham,2002 South Florida Bulls football team,1339602616
