season,school_mascot,head_coach,first_season,offensive_coordinators,defensive_coordinators,source_title,source_revid
2002,Southern Miss Golden Eagles,Jeff Bower,1990,Chris Klenakis,Tyrone Nix,2002 Southern Miss Golden Eagles football team,1339602625
2002,Stanford Cardinal,Buddy Teevens,2002,Mike Sanford,Tom Williams,2002 Stanford Cardinal football team,1366428732
2002,Syracuse Orange,Paul Pasqualoni,1991,George DeLeone,Chris Rippon,2002 Syracuse Orangemen football team,1374458561
2002,TCU Horned Frogs,Gary Patterson,2001,Mike Schultz,David Bailiff,2002 TCU Horned Frogs football team,1339456545
2002,Temple Owls,Bobby Wallace,1998,Dave Brock,Raymond Monica,2002 Temple Owls football team,1339602632
2002,Tennessee Volunteers,Phillip Fulmer,1993,Randy Sanders,John Chavis,2002 Tennessee Volunteers football team,1368564669
2002,Texas A&M Aggies,R. C. Slocum,1989,Dino Babers / Kevin Sumlin,Mike Hankwitz,2002 Texas A&M Aggies football team,1339602653
2002,Texas Longhorns,Mack Brown,1998,Greg Davis,Carl Reese,2002 Texas Longhorns football team,1337681469
2002,Texas Tech Red Raiders,Mike Leach,2000,,Greg McMackin,2002 Texas Tech Red Raiders football team,1369865800
2002,Toledo Rockets,Tom Amstutz,2001,Rob Spence,Lou West,2002 Toledo Rockets football team,1339602672
2002,Troy Trojans,Larry Blakeney,1991,John Shannon,Wayne Bolt,2002 Troy State Trojans football team,1374763070
2002,Tulane Green Wave,Chris Scelfo,1999,Frank Scelfo,Eric Schumann,2002 Tulane Green Wave football team,1339602716
2002,Tulsa Golden Hurricane,Keith Burns,2000,Dan Lounsbury,Keith Burns,2002 Tulsa Golden Hurricane football team,1339602728
2002,UAB Blazers,Watson Brown,1995,Pat Sullivan,John Neal,2002 UAB Blazers football team,1339602740
2002,UCF Knights,Mike Kruczek,1998,Robert McFarland,Bill D'Ottavio,2002 UCF Golden Knights football team,1339602751
2002,UCLA Bruins,Bob Toledo,1996,Kelly Skipper,Phil Snow,2002 UCLA Bruins football team,1375108425
2002,UConn Huskies,Randy Edsall,1999,Norries Wilson,Hank Hughes,2002 Connecticut Huskies football team,1339602399
2002,UL Monroe Warhawks,Bobby Keasler,1999,Tommy Condell,Mike Collins,2002 Louisiana–Monroe Indians football team,1339602484
2002,UNLV Rebels,John Robinson,1999,Rob Boras,Mike Bradeson,2002 UNLV Rebels football team,1339602785
2002,USC Trojans,Pete Carroll,2001,Norm Chow,,2002 USC Trojans football team,1339228692
2002,UTEP Miners,Gary Nord,2000,Patrick Higgins,Troy Reffett,2002 UTEP Miners football team,1339602803
2002,Utah State Aggies,Mick Dennehy,2000,Bob Cole,Kraig Paulson,2002 Utah State Aggies football team,1341085777
2002,Utah Utes,Ron McBride,1990,Craig Ver Steeg,Kyle Whittingham,2002 Utah Utes football team,1339602812
2002,Vanderbilt Commodores,Bobby Johnson,2002,Ted Cain,Bruce Fowler,2002 Vanderbilt Commodores football team,1360219247
2002,Virginia Cavaliers,Al Groh,2001,Bill Musgrave,Al Golden,2002 Virginia Cavaliers football team,1355948403
2002,Virginia Tech Hokies,Frank Beamer,1987,Bryan Stinespring,Bud Foster,2002 Virginia Tech Hokies football team,1339602849
2002,Wake Forest Demon Deacons,Jim Grobe,2001,Troy Calhoun,Dean Hood,2002 Wake Forest Demon Deacons football team,1336289132
2002,Washington Huskies,Rick Neuheisel,1999,Keith Gilbertson,Tim Hundley,2002 Washington Huskies football team,1339602862
2002,Washington State Cougars,Mike Price,1989,Mike Levenseller,Bill Doba,2002 Washington State Cougars football team,1368219511
2002,West Virginia Mountaineers,Rich Rodriguez,2001,,Jeff Casteel / Todd Graham,2002 West Virginia Mountaineers football team,1371347801
2002,Western Michigan Broncos,Gary Darnell,1997,Brian Rock,,2002 Western Michigan Broncos football team,1340738389
2002,Wisconsin Badgers,Barry Alvarez,1990,Brian White,Kevin Cosgrove,2002 Wisconsin Badgers football team,1339602886
2002,Wyoming Cowboys,Vic Koenning,2000,Lawrence Livington / Rob Phenicie,Matt Wallerstedt,2002 Wyoming Cowboys football team,1339027469
2003,Air Force Falcons,Fisher DeBerry,1984,,Richard Bell,2003 Air Force Falcons football team,1338061687
2003,Akron Zips,Lee Owens,1995,Paul Winters,Joe Tresey,2003 Akron Zips football team,1339376894
2003,Alabama Crimson Tide,Mike Shula,2003,David Rader,Joe Kines,2003 Alabama Crimson Tide football team,1339602906
2003,Arizona State Sun Devils,Dirk Koetter,2001,,Brent Guy,2003 Arizona State Sun Devils football team,1374472585
2003,Arizona Wildcats,John Mackovic,2001,Mike Deal,Mike Hankwitz,2003 Arizona Wildcats football team,1341870563
2003,Arkansas Razorbacks,Houston Nutt,1998,Roy Wittke,Dave Wommack,2003 Arkansas Razorbacks football team,1339602928
2003,Arkansas State Red Wolves,Steve Roberts,2002,Doug Ruse,Kevin Corless / Jack Curtis,2003 Arkansas State Indians football team,1332278235
2003,Army Black Knights,Todd Berry,2000,John Bond,Dennis Therrell,2003 Army Black Knights football team,1340738399
2003,Auburn Tigers,Tommy Tuberville,1999,Hugh Nall,Gene Chizik,2003 Auburn Tigers football team,1369651174
2003,BYU Cougars,Gary Crowton,2001,Robbie Bosco / Todd Bradford,Bronco Mendenhall,2003 BYU Cougars football team,1339133257
2003,Ball State Cardinals,Brady Hoke,2003,Don Treadwell,,2003 Ball State Cardinals football team,1340703363
2003,Baylor Bears,Guy Morriss,2003,Brent Pease,John Goodner,2003 Baylor Bears football team,1334658714
2003,Boise State Broncos,Dan Hawkins,2001,Chris Petersen,Ron Collins,2003 Boise State Broncos football team,1338870462
2003,Boston College Eagles,Tom O'Brien,1997,Dana Bible,Frank Spaziani,2003 Boston College Eagles football team,1334837451
2003,Bowling Green Falcons,Gregg Brandon,2003,Greg Studrawa,Tim Beckman,2003 Bowling Green Falcons football team,1372907140
2003,Buffalo Bulls,Jim Hofher,2001,,,2003 Buffalo Bulls football team,1339602950
2003,California Golden Bears,Jeff Tedford,2002,George Cortez,Bob Gregory,2003 California Golden Bears football team,1369095304
2003,Central Michigan Chippewas,Mike DeBord,2000,,Bob Bartolomeo,2003 Central Michigan Chippewas football team,1340705287
2003,Cincinnati Bearcats,Rick Minter,1994,Rusty Burns,Mike Kolakowski / Mark Criner,2003 Cincinnati Bearcats football team,1339773056
2003,Clemson Tigers,Tommy Bowden,1999,Brad Scott,John Lovett,2003 Clemson Tigers football team,1348503574
2003,Colorado Buffaloes,Gary Barnett,1999,Shawn Watson,Vince Okruch,2003 Colorado Buffaloes football team,1327597466
2003,Colorado State Rams,Sonny Lubick,1993,Dan Hammerschmidt,Steve Stanard,2003 Colorado State Rams football team,1330375483
2003,Duke Blue Devils,Carl Franks,1999,Jim Pry,Ted Roof,2003 Duke Blue Devils football team,1335923370
2003,East Carolina Pirates,John Thompson,2003,Rick Stockstill,Jerry Odom,2003 East Carolina Pirates football team,1339602980
2003,Eastern Michigan Eagles,Jeff Woodruff,2000,Tim Salem,Tim Rose,2003 Eastern Michigan Eagles football team,1339602996
2003,Florida Gators,Ron Zook,2002,Ed Zaunbrecher,Charlie Strong,2003 Florida Gators football team,1374897774
2003,Florida State Seminoles,Bobby Bowden,1976,Jeff Bowden,Mickey Andrews,2003 Florida State Seminoles football team,1335932945
2003,Fresno State Bulldogs,Pat Hill,1997,Frank Cignetti Jr.,Dan Brown,2003 Fresno State Bulldogs football team,1370159605
2003,Georgia Bulldogs,Mark Richt,2001,Neil Callaway,Brian VanGorder,2003 Georgia Bulldogs football team,1337686692
2003,Georgia Tech Yellow Jackets,Chan Gailey,2002,Patrick Nix / Buddy Geis,Jon Tenuta,2003 Georgia Tech Yellow Jackets football team,1339603029
2003,Hawai'i Rainbow Warriors,June Jones,1999,,George Lumpkin,2003 Hawaii Warriors football team,1338727638
2003,Houston Cougars,Art Briles,2003,,Ron Harris,2003 Houston Cougars football team,1360484846
2003,Illinois Fighting Illini,Ron Turner,1997,,Mike Cassity,2003 Illinois Fighting Illini football team,1344850863
2003,Indiana Hoosiers,Gerry DiNardo,2002,Al Borges,Tim Kish,2003 Indiana Hoosiers football team,1333316063
2003,Iowa Hawkeyes,Kirk Ferentz,1999,Ken O'Keefe,Norm Parker,2003 Iowa Hawkeyes football team,1355006980
2003,Iowa State Cyclones,Dan McCarney,1995,Steve Brickey,John Skladany,2003 Iowa State Cyclones football team,1339455149
2003,Kansas Jayhawks,Mark Mangino,2002,Nick Quartaro,Bill Young,2003 Kansas Jayhawks football team,1374160074
2003,Kansas State Wildcats,Bill Snyder,1989,Del Miller / Greg Peterson,Bret Bielema / Bob Elliott,2003 Kansas State Wildcats football team,1339452157
2003,Kent State Golden Flashes,Dean Pees,1998,Doug Martin,,2003 Kent State Golden Flashes football team,1347165870
2003,Kentucky Wildcats,Rich Brooks,2003,Ron Hudson,Mike Archer,2003 Kentucky Wildcats football team,1338011319
2003,LSU Tigers,Nick Saban,2000,Jimbo Fisher,Will Muschamp,2003 LSU Tigers football team,1338051736
2003,Louisiana Ragin' Cajuns,Rickey Bustle,2002,Rob Christophel,Brent Pry,2003 Louisiana–Lafayette Ragin' Cajuns football team,1340994980
2003,Louisiana Tech Bulldogs,Jack Bicknell Jr.,1999,Conroy Hines,Rick Smith / Randy Bates,2003 Louisiana Tech Bulldogs football team,1343686229
2003,Louisville Cardinals,Bobby Petrino,2003,Paul Petrino,Mike Gillhamer,2003 Louisville Cardinals football team,1336993822
2003,Marshall Thundering Herd,Bob Pruett,1996,Mark McHale / Larry Kueck,Bill Wilt,2003 Marshall Thundering Herd football team,1339280174
2003,Maryland Terrapins,Ralph Friedgen,2001,Charlie Taaffe,Gary Blackney,2003 Maryland Terrapins football team,1333326551
2003,Memphis Tigers,Tommy West,2001,Randy Fichtner,Joe Lee Dunn,2003 Memphis Tigers football team,1339603084
2003,Miami (OH) RedHawks,Terry Hoeppner,1999,Shane Montgomery,Pat Narduzzi,2003 Miami RedHawks football team,1339603118
2003,Miami Hurricanes,Larry Coker,2001,Rob Chudzinski,Randy Shannon,2003 Miami Hurricanes football team,1369665077
2003,Michigan State Spartans,John L. Smith,2003,Dave Baldwin,Chris Smeland,2003 Michigan State Spartans football team,1339603126
2003,Michigan Wolverines,Lloyd Carr,1995,Terry Malone,Jim Herrmann,2003 Michigan Wolverines football team,1353064148
2003,Middle Tennessee Blue Raiders,Andy McCollum,1999,Darin Hinshaw / Blake Anderson,Steve Davis,2003 Middle Tennessee Blue Raiders football team,1341085896
2003,Minnesota Golden Gophers,Glen Mason,1997,Mitch Browning / Tony Petersen,Greg Hudson,2003 Minnesota Golden Gophers football team,1338613095
2003,Mississippi State Bulldogs,Jackie Sherrill,1991,Morris Watts,Ron Cooper,2003 Mississippi State Bulldogs football team,1337604407
2003,Missouri Tigers,Gary Pinkel,2001,Dave Christensen,Matt Eberflus,2003 Missouri Tigers football team,1374160183
2003,NC State Wolfpack,Chuck Amato,2000,Noel Mazzone,Chuck Amato,2003 NC State Wolfpack football team,1339603137
2003,Navy Midshipmen,Paul Johnson,2002,,Buddy Green,2003 Navy Midshipmen football team,1331025323
2003,Nebraska Cornhuskers,Frank Solich,1998,Barney Cotton,Bo Pelini,2003 Nebraska Cornhuskers football team,1369840531
2003,Nevada Wolf Pack,Chris Tormey,2000,Phil Earley,Jeff Mills,2003 Nevada Wolf Pack football team,1338768484
2003,New Mexico Lobos,Rocky Long,1998,Dan Dodd,Osia Lewis,2003 New Mexico Lobos football team,1330386928
2003,New Mexico State Aggies,Tony Samuel,1997,Gerry Gdowski,Ross Els,2003 New Mexico State Aggies football team,1339603160
2003,North Carolina Tar Heels,John Bunting,2001,Gary Tranquill,Dave Huxtable,2003 North Carolina Tar Heels football team,1336647658
2003,North Texas Mean Green,Darrell Dickey,1998,Ramon Flanigan,Kenny Evans,2003 North Texas Mean Green football team,1340738461
2003,Northern Illinois Huskies,Joe Novak,1996,Matt Canada,,2003 Northern Illinois Huskies football team,1339450935
2003,Northwestern Wildcats,Randy Walker,1999,Mike Dunbar,Greg Colby,2003 Northwestern Wildcats football team,1339603175
2003,Notre Dame Fighting Irish,Tyrone Willingham,2002,Bill Diedrick,Kent Baer,2003 Notre Dame Fighting Irish football team,1368969360
2003,Ohio Bobcats,Brian Knorr,2001,Greg Gregory,Tim DeRuyter,2003 Ohio Bobcats football team,1339603181
2003,Ohio State Buckeyes,Jim Tressel,2001,Jim Bollman,Mark Dantonio,2003 Ohio State Buckeyes football team,1359931933
2003,Oklahoma Sooners,Bob Stoops,1999,Chuck Long / Kevin Wilson,Mike Stoops / Brent Venables,2003 Oklahoma Sooners football team,1338162433
2003,Oklahoma State Cowboys,Les Miles,2001,Mike Gundy,Bill Clay,2003 Oklahoma State Cowboys football team,1339453578
2003,Ole Miss Rebels,David Cutcliffe,1999,John Latina,Chuck Driesbach,2003 Ole Miss Rebels football team,1332815180
2003,Oregon Ducks,Mike Bellotti,1995,Andy Ludwig,Nick Aliotti,2003 Oregon Ducks football team,1365737663
2003,Oregon State Beavers,Mike Riley,2001,Paul Chryst,Mark Banker,2003 Oregon State Beavers football team,1328281857
2003,Penn State Nittany Lions,Joe Paterno,1966,Fran Ganter,Tom Bradley,2003 Penn State Nittany Lions football team,1366433847
2003,Pittsburgh Panthers,Walt Harris,1997,J. D. Brookhart,Paul Rhoads,2003 Pittsburgh Panthers football team,1339291473
2003,Purdue Boilermakers,Joe Tiller,1997,Jim Chaney,Brock Spack,2003 Purdue Boilermakers football team,1363422983
2003,Rice Owls,Ken Hatfield,1994,Scott Wachenheim,Roger Hinshaw,2003 Rice Owls football team,1339603195
2003,Rutgers Scarlet Knights,Greg Schiano,2001,Craig Ver Steeg,Paul Ferraro,2003 Rutgers Scarlet Knights football team,1360524497
2003,SMU Mustangs,Phil Bennett,2002,Larry Edmondson,Jim Gush,2003 SMU Mustangs football team,1339379249
2003,San Diego State Aztecs,Tom Craft,2002,,Thom Kaumeyer,2003 San Diego State Aztecs football team,1374099482
2003,San José State Spartans,Fitz Hill,2001,Charlie Roche / Barry Lunney Jr.,Chris Wilkerson,2003 San Jose State Spartans football team,1330401178
2003,South Carolina Gamecocks,Lou Holtz,1999,Skip Holtz,Chris Cosh,2003 South Carolina Gamecocks football team,1339603215
2003,South Florida Bulls,Jim Leavitt,1997,Mike Hobbie,Rick Kravitz / Wally Burnham,2003 South Florida Bulls football team,1339603222
2003,Southern Miss Golden Eagles,Jeff Bower,1990,Rip Scherer,Tyrone Nix,2003 Southern Miss Golden Eagles football team,1339603234
2003,Stanford Cardinal,Buddy Teevens,2002,Bill Cubit,A. J. Christoff,2003 Stanford Cardinal football team,1366428614
2003,Syracuse Orange,Paul Pasqualoni,1991,George DeLeone,Chris Rippon,2003 Syracuse Orangemen football team,1336460716
2003,TCU Horned Frogs,Gary Patterson,2001,Mike Schultz,David Bailiff,2003 TCU Horned Frogs football team,1339456518
2003,Temple Owls,Bobby Wallace,1998,Dave Brock,Raymond Monica,2003 Temple Owls football team,1339603244
2003,Tennessee Volunteers,Phillip Fulmer,1993,Randy Sanders,John Chavis,2003 Tennessee Volunteers football team,1339603255
2003,Texas A&M Aggies,Dennis Franchione,2003,Les Koenning,Carl Torbush,2003 Texas A&M Aggies football team,1339603263
2003,Texas Longhorns,Mack Brown,1998,Greg Davis,Carl Reese,2003 Texas Longhorns football team,1337681494
2003,Texas Tech Red Raiders,Mike Leach,2000,,Lyle Setencich,2003 Texas Tech Red Raiders football team,1369865792
2003,Toledo Rockets,Tom Amstutz,2001,Rob Spence,Lou West,2003 Toledo Rockets football team,1339603283
2003,Troy Trojans,Larry Blakeney,1991,Mark Fleetwood,Vic Koenning,2003 Troy State Trojans football team,1340738473
2003,Tulane Green Wave,Chris Scelfo,1999,Frank Scelfo,Eric Schumann,2003 Tulane Green Wave football team,1339603294
2003,Tulsa Golden Hurricane,Steve Kragthorpe,2003,Charlie Stubbs,Todd Graham,2003 Tulsa Golden Hurricane football team,1339603306
2003,UAB Blazers,Watson Brown,1995,Pat Sullivan,Wayne Bolt,2003 UAB Blazers football team,1339603313
2003,UCF Knights,Mike Kruczek,1998,Robert McFarland,Bill D'Ottavio,2003 UCF Golden Knights football team,1339603321
2003,UCLA Bruins,Karl Dorrell,2003,Steve Axman,Larry Kerr,2003 UCLA Bruins football team,1375108997
2003,UConn Huskies,Randy Edsall,1999,Norries Wilson,Hank Hughes,2003 Connecticut Huskies football team,1339602969
2003,UL Monroe Warhawks,Charlie Weatherbie,2003,Tommy Condell,Bob Trott,2003 Louisiana–Monroe Indians football team,1339603075
2003,UNLV Rebels,John Robinson,1999,Rob Boras,Mike Bradeson,2003 UNLV Rebels football team,1339603348
2003,USC Trojans,Pete Carroll,2001,Norm Chow,,2003 USC Trojans football team,1339228723
2003,UTEP Miners,Gary Nord,2000,Patrick Higgins,Troy Reffett,2003 UTEP Miners football team,1339603353
2003,Utah State Aggies,Mick Dennehy,2000,Bob Cole,David Kotulski,2003 Utah State Aggies football team,1341086080
2003,Utah Utes,Urban Meyer,2003,Mike Sanford,Kyle Whittingham,2003 Utah Utes football team,1339603363
2003,Vanderbilt Commodores,Bobby Johnson,2002,Ted Cain,Bruce Fowler,2003 Vanderbilt Commodores football team,1360221886
2003,Virginia Cavaliers,Al Groh,2001,Ron Prince,Al Golden,2003 Virginia Cavaliers football team,1339603394
2003,Virginia Tech Hokies,Frank Beamer,1987,Bryan Stinespring,Bud Foster,2003 Virginia Tech Hokies football team,1373764325
