season,team,off_rtprod,def_rtprod
2015,Air Force,0.61,0.45
2015,Akron,0.63,0.59
2015,Alabama,0.26,0.64
2015,Arizona,0.72,0.55
2015,Arizona State,0.47,0.66
2015,Arkansas,0.81,0.56
2015,Arkansas State,0.88,0.57
2015,Army,0.46,0.72
2015,Auburn,0.34,0.57
2015,BYU,0.51,0.54
2015,Ball State,0.96,0.7
2015,Baylor,0.54,0.85
2015,Boise State,0.58,0.76
2015,Boston College,0.31,0.49
2015,Bowling Green,0.94,0.43
2015,Buffalo,0.73,0.38
2015,California,0.84,0.79
2015,Central Michigan,0.63,0.68
2015,Charlotte,0.89,0.84
2015,Cincinnati,0.83,0.64
2015,Clemson,0.64,0.4
2015,Colorado,0.75,0.8
2015,Colorado State,0.52,0.75
2015,Connecticut,0.42,0.85
2015,Duke,0.34,0.78
2015,East Carolina,0.41,0.64
2015,Eastern Michigan,0.52,0.62
2015,Florida,0.53,0.75
2015,Florida Atlantic,0.65,0.49
2015,Florida International,0.66,0.72
2015,Florida State,0.38,0.6
2015,Fresno State,0.31,0.52
2015,Georgia,0.55,0.55
2015,Georgia State,0.75,0.94
2015,Georgia Tech,0.48,0.75
2015,Hawai'i,0.74,0.66
2015,Houston,0.45,0.69
2015,Idaho,0.58,0.64
2015,Illinois,0.61,0.7
2015,Indiana,0.6,0.56
2015,Iowa,0.43,0.59
2015,Iowa State,0.7,0.65
2015,Kansas,0.2,0.38
2015,Kansas State,0.25,0.6
2015,Kent State,0.71,0.88
2015,Kentucky,0.79,0.72
2015,LSU,0.86,0.6
2015,Louisiana,0.4,0.38
2015,Louisiana Monroe,0.37,0.76
2015,Louisiana Tech,0.56,0.61
2015,Louisville,0.5,0.5
2015,Marshall,0.35,0.56
2015,Maryland,0.41,0.59
2015,Memphis,0.79,0.45
2015,Miami,0.61,0.65
2015,Miami (OH),0.37,0.7
2015,Michigan,0.66,0.53
2015,Michigan State,0.71,0.49
2015,Middle Tennessee,0.7,0.7
2015,Minnesota,0.57,0.71
2015,Mississippi State,0.67,0.6
2015,Missouri,0.57,0.53
2015,NC State,0.71,0.73
2015,Navy,0.67,0.58
2015,Nebraska,0.71,0.63
2015,Nevada,0.38,0.54
2015,New Mexico,0.62,0.48
2015,New Mexico State,0.74,0.76
2015,North Carolina,0.92,0.81
2015,North Texas,0.69,0.54
2015,Northern Illinois,0.68,0.81
2015,Northwestern,0.46,0.78
2015,Notre Dame,0.56,0.85
2015,Ohio,0.84,0.86
2015,Ohio State,0.82,0.72
2015,Oklahoma,0.73,0.61
2015,Oklahoma State,0.66,0.77
2015,Old Dominion,0.49,0.43
2015,Ole Miss,0.62,0.58
2015,Oregon,0.66,0.49
2015,Oregon State,0.53,0.33
2015,Penn State,0.8,0.66
2015,Pittsburgh,0.73,0.71
2015,Purdue,0.78,0.63
2015,Rice,0.68,0.33
2015,Rutgers,0.47,0.54
2015,SMU,0.81,0.76
2015,San Diego State,0.57,0.75
2015,San José State,0.8,0.6
2015,South Alabama,0.51,0.36
2015,South Carolina,0.3,0.67
2015,South Florida,0.36,0.79
2015,Southern Mississippi,0.83,0.58
2015,Stanford,0.73,0.33
2015,Syracuse,0.74,0.31
2015,TCU,0.87,0.5
2015,Temple,0.77,0.9
2015,Tennessee,0.76,0.76
2015,Texas,0.56,0.46
2015,Texas A&M,0.56,0.64
2015,Texas State,0.74,0.51
2015,Texas Tech,0.8,0.83
2015,Toledo,0.73,0.8
2015,Troy,0.7,0.74
2015,Tulane,0.74,0.55
2015,Tulsa,0.94,0.57
2015,UCF,0.51,0.26
2015,UCLA,0.62,0.62
2015,UMass,0.9,0.9
2015,UNLV,0.58,0.47
2015,USC,0.68,0.7
2015,UT San Antonio,0.35,0.48
2015,UTEP,0.24,0.5
2015,Utah,0.66,0.61
2015,Utah State,0.63,0.55
2015,Vanderbilt,0.74,0.91
2015,Virginia,0.52,0.46
2015,Virginia Tech,0.78,0.72
2015,Wake Forest,0.69,0.68
2015,Washington,0.43,0.44
2015,Washington State,0.58,0.57
2015,West Virginia,0.34,0.77
2015,Western Kentucky,0.74,0.79
2015,Western Michigan,0.93,0.6
2015,Wisconsin,0.7,0.76
2015,Wyoming,0.3,0.46
2016,Air Force,0.34,0.85
2016,Akron,0.74,0.52
2016,Alabama,0.46,0.66
2016,Appalachian State,0.72,0.75
2016,Arizona,0.6,0.57
2016,Arizona State,0.31,0.4
2016,Arkansas,0.39,0.88
2016,Arkansas State,0.39,0.7
2016,Army,0.59,0.81
2016,Auburn,0.61,0.55
2016,BYU,0.7,0.74
2016,Ball State,0.77,0.86
2016,Baylor,0.48,0.59
2016,Boise State,0.86,0.51
2016,Boston College,0.78,0.7
2016,Bowling Green,0.21,0.62
2016,Buffalo,0.31,0.69
2016,California,0.19,0.47
2016,Central Michigan,0.85,0.67
2016,Charlotte,0.92,0.82
2016,Cincinnati,0.55,0.82
2016,Clemson,0.88,0.5
2016,Colorado,0.73,0.76
2016,Colorado State,0.58,0.39
2016,Connecticut,0.92,0.71
2016,Duke,0.71,0.72
2016,East Carolina,0.51,0.58
2016,Eastern Michigan,0.74,0.72
2016,Florida,0.46,0.58
2016,Florida Atlantic,0.54,0.61
2016,Florida International,0.8,0.5
2016,Florida State,0.77,0.52
2016,Fresno State,0.66,0.6
2016,Georgia,0.74,0.76
2016,Georgia Southern,0.86,0.38
2016,Georgia State,0.45,0.69
2016,Georgia Tech,0.89,0.4
2016,Hawai'i,0.66,0.68
2016,Houston,0.69,0.46
2016,Idaho,0.81,0.74
2016,Illinois,0.76,0.41
2016,Indiana,0.45,0.76
2016,Iowa,0.72,0.67
2016,Iowa State,0.56,0.69
2016,Kansas,0.78,0.83
2016,Kansas State,0.67,0.65
2016,Kent State,0.81,0.83
2016,Kentucky,0.63,0.51
2016,LSU,0.89,0.86
