season,team_id,adj_off_epa,adj_def_epa,adj_st_epa,adj_net,fei_off,fei_def,fei_net,games,off_pace,off_rank,def_rank,net_rank,net_z
2016,12,0.11535045465745847,0.0773031749193676,0.2892497018462933,0.03804727973809087,0.36863426886800715,0.8870894049752849,-0.5184551361072778,9,66.77777777777777,34,86,59,0.16580547603324672
2016,356,-0.10267909228436824,0.0093576936983199,-0.12398300420632064,-0.11203678598268814,-0.61371842452241,0.11764679839873088,-0.7313652229211409,11,58.54545454545455,104,56,88,-0.5743241514393744
2016,70,-0.062111597684736716,0.038410563230488345,0.28878902794044814,-0.10052216091522506,-0.07521807987190333,0.30181920422783654,-0.37703728409973986,9,69.88888888888889,91,63,85,-0.5175405407293373
2016,120,0.03616901271924721,0.09022547984156128,-0.25416872043208755,-0.054056467122314066,0.09714497043173126,0.18522304749328983,-0.08807807706155857,11,66.18181818181819,63,92,77,-0.28839805000560187
2016,202,0.08982184688760865,0.036029510170351275,0.3169251405155934,0.053792336717257375,0.8329927543424568,0.25198364211861657,0.5810091122238402,11,86.27272727272727,39,61,53,0.2434511814621362
2016,9,0.0007147688904852179,-0.0077492392654202906,1.4128893682688366,0.00846400815590551,0.08325100831973203,-0.004182750852135056,0.08743375917186709,11,74.81818181818181,73,51,67,0.019917532030722083
2016,84,0.022013083659574897,-0.05158124276985695,-0.7271612214802402,0.07359432642943184,-0.16105539663992852,-0.46936419934416634,0.3083088027042378,12,76.16666666666667,66,38,50,0.34110338190395334
2016,2005,0.044446263584838774,0.001535503953124362,0.6183303675501188,0.04291075963171441,0.17973482022737083,0.023079195991907803,0.15665562423546303,10,74.3,59,54,57,0.18978940493736496
2016,97,0.23417089484356915,-0.13606736689243712,-0.25262312917225677,0.37023826173600627,0.9177776777819189,-0.4822812648753993,1.4000589426573182,12,74.33333333333333,4,15,5,1.8039832970771874
2016,2306,0.08092600760005285,-0.04404889744498572,0.5534030288847742,0.12497490504503857,0.4601603580792426,-0.07856022268628161,0.5387205807655242,11,70.54545454545455,44,42,35,0.5944833015341007
